
==========================================================================================
SOFTMAX GOLDEN MODEL -- TEST SUMMARY
==========================================================================================
MSE target  : <= 0.025
Avg MSE     : 1.026383e-04
Max MSE     : 8.580966e-03
Overall     : ALL PASS
==========================================================================================
Test  0 | bin neg_extreme  N=8  LOW      | N= 8 | MSE=1.8891e-04 | MAE=8.6976e-03 | MaxAE=3.3653e-02 | Sum_hw=1.0004 | PASS
Test 53 | rand-003 N=130                 | N=130 | MSE=3.6026e-05 | MAE=5.2643e-04 | MaxAE=6.8435e-02 | Sum_hw=0.9316 | PASS
Test 54 | rand-004 N=285                 | N=285 | MSE=1.6064e-05 | MAE=1.1334e-03 | MaxAE=3.6562e-02 | Sum_hw=1.3220 | PASS
Test 55 | rand-005 N=247                 | N=247 | MSE=4.7294e-06 | MAE=6.0289e-04 | MaxAE=2.2564e-02 | Sum_hw=1.1437 | PASS
Test 56 | rand-006 N=143                 | N=143 | MSE=2.5140e-05 | MAE=4.4656e-04 | MaxAE=5.9844e-02 | Sum_hw=0.9361 | PASS
Test 57 | rand-007 N=156                 | N=156 | MSE=2.2190e-05 | MAE=7.8359e-04 | MaxAE=4.1385e-02 | Sum_hw=0.9628 | PASS
Test 58 | rand-008 N=312                 | N=312 | MSE=3.1737e-05 | MAE=4.4219e-04 | MaxAE=8.7658e-02 | Sum_hw=1.0374 | PASS
Test 59 | rand-009 N=149                 | N=149 | MSE=4.4957e-05 | MAE=8.3382e-04 | MaxAE=7.5525e-02 | Sum_hw=1.0296 | PASS
Test 60 | rand-010 N=48                  | N=48 | MSE=9.7572e-05 | MAE=1.4257e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 61 | rand-011 N=296                 | N=296 | MSE=3.1766e-06 | MAE=3.7913e-04 | MaxAE=2.0536e-02 | Sum_hw=1.0676 | PASS
Test 62 | rand-012 N=61                  | N=61 | MSE=3.0257e-05 | MAE=8.0715e-04 | MaxAE=4.2417e-02 | Sum_hw=1.0356 | PASS
Test 63 | rand-013 N=494                 | N=494 | MSE=4.6954e-06 | MAE=2.0295e-04 | MaxAE=3.2125e-02 | Sum_hw=0.9442 | PASS
Test 64 | rand-014 N=289                 | N=289 | MSE=6.6338e-06 | MAE=2.2340e-04 | MaxAE=4.0070e-02 | Sum_hw=0.9551 | PASS
Test 65 | rand-015 N=65                  | N=65 | MSE=5.1991e-05 | MAE=1.6906e-03 | MaxAE=5.2243e-02 | Sum_hw=0.9946 | PASS
Test 66 | rand-016 N=417                 | N=417 | MSE=1.2207e-05 | MAE=2.6719e-04 | MaxAE=5.7821e-02 | Sum_hw=0.9709 | PASS
Test 67 | rand-017 N=313                 | N=313 | MSE=1.1796e-05 | MAE=1.3315e-03 | MaxAE=2.5466e-02 | Sum_hw=1.4157 | PASS
Test 68 | rand-018 N=475                 | N=475 | MSE=4.6904e-06 | MAE=1.4933e-04 | MaxAE=3.5915e-02 | Sum_hw=1.0009 | PASS
Test 69 | rand-019 N=330                 | N=330 | MSE=1.3217e-05 | MAE=4.1547e-04 | MaxAE=4.4773e-02 | Sum_hw=0.9245 | PASS
Test 70 | rand-020 N=87                  | N=87 | MSE=3.4303e-05 | MAE=6.9173e-04 | MaxAE=5.4313e-02 | Sum_hw=0.9398 | PASS
Test 71 | rand-021 N=156                 | N=156 | MSE=2.5392e-05 | MAE=4.2294e-04 | MaxAE=6.2861e-02 | Sum_hw=0.9340 | PASS
Test 72 | rand-022 N=457                 | N=457 | MSE=2.2728e-06 | MAE=9.7496e-05 | MaxAE=3.1085e-02 | Sum_hw=0.9554 | PASS
Test 73 | rand-023 N=336                 | N=336 | MSE=9.7789e-06 | MAE=1.8819e-04 | MaxAE=5.7038e-02 | Sum_hw=0.9368 | PASS
Test 74 | rand-024 N=145                 | N=145 | MSE=1.8158e-06 | MAE=1.3478e-04 | MaxAE=1.5946e-02 | Sum_hw=0.9864 | PASS
Test 75 | rand-025 N=418                 | N=418 | MSE=1.5012e-05 | MAE=2.6650e-04 | MaxAE=7.6304e-02 | Sum_hw=1.0412 | PASS
Test 76 | rand-026 N=326                 | N=326 | MSE=5.7197e-06 | MAE=2.2008e-04 | MaxAE=4.0317e-02 | Sum_hw=1.0266 | PASS
Test 77 | rand-027 N=108                 | N=108 | MSE=8.7517e-05 | MAE=1.1202e-03 | MaxAE=9.4780e-02 | Sum_hw=1.0686 | PASS
Test 78 | rand-028 N=229                 | N=229 | MSE=3.8962e-06 | MAE=1.7191e-04 | MaxAE=2.7664e-02 | Sum_hw=0.9606 | PASS
Test 79 | rand-029 N=452                 | N=452 | MSE=1.3291e-05 | MAE=2.3141e-04 | MaxAE=7.4780e-02 | Sum_hw=1.0580 | PASS
Test 80 | rand-030 N=463                 | N=463 | MSE=6.1085e-06 | MAE=2.5011e-04 | MaxAE=4.6750e-02 | Sum_hw=1.0899 | PASS
Test 81 | rand-031 N=244                 | N=244 | MSE=6.9939e-06 | MAE=2.8626e-04 | MaxAE=3.6404e-02 | Sum_hw=1.0030 | PASS
Test 82 | rand-032 N=171                 | N=171 | MSE=1.6914e-05 | MAE=3.5666e-04 | MaxAE=5.3425e-02 | Sum_hw=0.9390 | PASS
Test 83 | rand-033 N=465                 | N=465 | MSE=6.2176e-06 | MAE=1.9039e-04 | MaxAE=4.7782e-02 | Sum_hw=1.0070 | PASS
Test 84 | rand-034 N=399                 | N=399 | MSE=1.8780e-05 | MAE=2.8111e-04 | MaxAE=8.4838e-02 | Sum_hw=1.0585 | PASS
Test 85 | rand-035 N=34                  | N=34 | MSE=1.3774e-04 | MAE=2.0128e-03 | MaxAE=6.8433e-02 | Sum_hw=0.9316 | PASS
Test 86 | rand-036 N=413                 | N=413 | MSE=9.6336e-06 | MAE=2.7439e-04 | MaxAE=5.5219e-02 | Sum_hw=1.1031 | PASS
Test 87 | rand-037 N=215                 | N=215 | MSE=9.8312e-06 | MAE=3.2684e-04 | MaxAE=3.4876e-02 | Sum_hw=0.9995 | PASS
Test 88 | rand-038 N=408                 | N=408 | MSE=3.2317e-06 | MAE=1.2461e-04 | MaxAE=2.9036e-02 | Sum_hw=0.9928 | PASS
Test 89 | rand-039 N=309                 | N=309 | MSE=1.2722e-05 | MAE=7.0011e-04 | MaxAE=4.5367e-02 | Sum_hw=1.2136 | PASS
Test 90 | rand-040 N=438                 | N=438 | MSE=1.0371e-05 | MAE=1.5517e-04 | MaxAE=6.7395e-02 | Sum_hw=0.9320 | PASS
Test 91 | rand-041 N=40                  | N=40 | MSE=3.7135e-05 | MAE=1.2478e-03 | MaxAE=3.6020e-02 | Sum_hw=1.0221 | PASS
Test 92 | rand-042 N=430                 | N=430 | MSE=4.9399e-06 | MAE=2.0747e-04 | MaxAE=3.1237e-02 | Sum_hw=0.9720 | PASS
Test 93 | rand-043 N=405                 | N=405 | MSE=5.4604e-06 | MAE=1.8836e-04 | MaxAE=4.1353e-02 | Sum_hw=1.0261 | PASS
Test 94 | rand-044 N=500                 | N=500 | MSE=7.0276e-06 | MAE=1.5845e-04 | MaxAE=5.5225e-02 | Sum_hw=0.9218 | PASS
Test 95 | rand-045 N=26                  | N=26 | MSE=8.8121e-05 | MAE=2.2419e-03 | MaxAE=4.6354e-02 | Sum_hw=0.9417 | PASS
Test 96 | rand-046 N=125                 | N=125 | MSE=3.7466e-05 | MAE=5.4749e-04 | MaxAE=6.8434e-02 | Sum_hw=0.9316 | PASS
Test 97 | rand-047 N=245                 | N=245 | MSE=3.9598e-06 | MAE=1.2799e-04 | MaxAE=3.1147e-02 | Sum_hw=0.9686 | PASS
Test 98 | rand-048 N=105                 | N=105 | MSE=2.2313e-05 | MAE=6.2057e-04 | MaxAE=4.6092e-02 | Sum_hw=1.0270 | PASS
Test 99 | rand-049 N=331                 | N=331 | MSE=3.4689e-07 | MAE=2.3681e-04 | MaxAE=4.5550e-03 | Sum_hw=0.9865 | PASS
Test 100 | rand-050 N=363                 | N=363 | MSE=2.0642e-06 | MAE=1.6225e-04 | MaxAE=1.6698e-02 | Sum_hw=0.9482 | PASS
Test 101 | rand-051 N=431                 | N=431 | MSE=1.1329e-05 | MAE=2.4766e-04 | MaxAE=6.0772e-02 | Sum_hw=1.0148 | PASS
Test 102 | rand-052 N=412                 | N=412 | MSE=2.8260e-06 | MAE=1.4647e-04 | MaxAE=2.7358e-02 | Sum_hw=0.9944 | PASS
Test 103 | rand-053 N=341                 | N=341 | MSE=8.3725e-06 | MAE=2.9640e-04 | MaxAE=4.1273e-02 | Sum_hw=0.9390 | PASS
Test 104 | rand-054 N=48                  | N=48 | MSE=6.0049e-05 | MAE=2.2633e-03 | MaxAE=5.0082e-02 | Sum_hw=1.0472 | PASS
Test 105 | rand-055 N=468                 | N=468 | MSE=3.1486e-06 | MAE=8.4435e-05 | MaxAE=3.8373e-02 | Sum_hw=1.0372 | PASS
Test 106 | rand-056 N=249                 | N=249 | MSE=7.1579e-06 | MAE=3.8127e-04 | MaxAE=2.5711e-02 | Sum_hw=0.9724 | PASS
Test 107 | rand-057 N=422                 | N=422 | MSE=4.3384e-07 | MAE=6.5157e-05 | MaxAE=9.9702e-03 | Sum_hw=0.9725 | PASS
Test 108 | rand-058 N=171                 | N=171 | MSE=3.1169e-05 | MAE=9.3600e-04 | MaxAE=5.9684e-02 | Sum_hw=1.1577 | PASS
Test 109 | rand-059 N=427                 | N=427 | MSE=4.9336e-06 | MAE=1.5512e-04 | MaxAE=4.1938e-02 | Sum_hw=1.0176 | PASS
Test 110 | rand-060 N=45                  | N=45 | MSE=1.0397e-04 | MAE=1.5208e-03 | MaxAE=6.8400e-02 | Sum_hw=0.9316 | PASS
Test 111 | rand-061 N=201                 | N=201 | MSE=1.6478e-06 | MAE=1.6162e-04 | MaxAE=1.4741e-02 | Sum_hw=0.9675 | PASS
Test 112 | rand-062 N=238                 | N=238 | MSE=2.1950e-05 | MAE=4.5175e-04 | MaxAE=6.3066e-02 | Sum_hw=1.0186 | PASS
Test 113 | rand-063 N=190                 | N=190 | MSE=2.4231e-05 | MAE=5.2086e-04 | MaxAE=6.5412e-02 | Sum_hw=1.0839 | PASS
Test 114 | rand-064 N=216                 | N=216 | MSE=3.2688e-05 | MAE=5.3715e-04 | MaxAE=8.0663e-02 | Sum_hw=1.0889 | PASS
Test 115 | rand-065 N=392                 | N=392 | MSE=1.1452e-06 | MAE=9.6263e-05 | MaxAE=1.6011e-02 | Sum_hw=0.9623 | PASS
Test 116 | rand-066 N=115                 | N=115 | MSE=1.1704e-05 | MAE=4.3096e-04 | MaxAE=3.2712e-02 | Sum_hw=0.9504 | PASS
Test 117 | rand-067 N=395                 | N=395 | MSE=1.1270e-06 | MAE=8.3711e-05 | MaxAE=1.8188e-02 | Sum_hw=0.9669 | PASS
Test 118 | rand-068 N=184                 | N=184 | MSE=1.7156e-05 | MAE=5.1491e-04 | MaxAE=5.2396e-02 | Sum_hw=1.0354 | PASS
Test 119 | rand-069 N=176                 | N=176 | MSE=5.3828e-06 | MAE=2.2723e-04 | MaxAE=2.8869e-02 | Sum_hw=0.9600 | PASS
Test 120 | rand-070 N=82                  | N=82 | MSE=3.6013e-05 | MAE=1.0173e-03 | MaxAE=5.1683e-02 | Sum_hw=1.0199 | PASS
Test 121 | rand-071 N=411                 | N=411 | MSE=2.9079e-05 | MAE=3.4150e-04 | MaxAE=1.0810e-01 | Sum_hw=1.0803 | PASS
Test 122 | rand-072 N=387                 | N=387 | MSE=1.1346e-05 | MAE=1.7412e-04 | MaxAE=6.6257e-02 | Sum_hw=0.9326 | PASS
Test 123 | rand-073 N= 1                  | N= 1 | MSE=4.6834e-03 | MAE=6.8436e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 124 | rand-074 N=282                 | N=282 | MSE=1.6762e-05 | MAE=3.3665e-04 | MaxAE=5.8675e-02 | Sum_hw=1.0224 | PASS
Test 125 | rand-075 N=294                 | N=294 | MSE=9.2941e-06 | MAE=2.7122e-04 | MaxAE=4.1189e-02 | Sum_hw=1.0026 | PASS
Test 126 | rand-076 N=421                 | N=421 | MSE=7.5876e-06 | MAE=1.5005e-04 | MaxAE=5.6133e-02 | Sum_hw=0.9368 | PASS
Test 127 | rand-077 N=36                  | N=36 | MSE=1.3006e-04 | MAE=1.9010e-03 | MaxAE=6.8426e-02 | Sum_hw=0.9316 | PASS
Test 128 | rand-078 N=404                 | N=404 | MSE=7.3626e-06 | MAE=2.2837e-04 | MaxAE=5.1324e-02 | Sum_hw=1.0555 | PASS
Test 129 | rand-079 N=441                 | N=441 | MSE=1.1555e-05 | MAE=2.4963e-04 | MaxAE=6.8447e-02 | Sum_hw=1.0276 | PASS
Test 130 | rand-080 N=345                 | N=345 | MSE=2.6451e-06 | MAE=1.2844e-04 | MaxAE=2.7930e-02 | Sum_hw=0.9557 | PASS
Test 131 | rand-081 N=219                 | N=219 | MSE=1.3963e-05 | MAE=3.8672e-04 | MaxAE=4.3958e-02 | Sum_hw=1.0038 | PASS
Test 132 | rand-082 N=346                 | N=346 | MSE=1.2089e-05 | MAE=3.4952e-04 | MaxAE=5.5270e-02 | Sum_hw=1.0371 | PASS
Test 133 | rand-083 N=338                 | N=338 | MSE=4.2733e-06 | MAE=1.4726e-04 | MaxAE=3.5853e-02 | Sum_hw=0.9502 | PASS
Test 134 | rand-084 N=85                  | N=85 | MSE=5.4108e-05 | MAE=8.0243e-04 | MaxAE=6.7816e-02 | Sum_hw=0.9318 | PASS
Test 135 | rand-085 N=226                 | N=226 | MSE=1.2983e-06 | MAE=1.3745e-04 | MaxAE=1.4052e-02 | Sum_hw=0.9970 | PASS
Test 136 | rand-086 N=273                 | N=273 | MSE=3.5856e-06 | MAE=1.5969e-04 | MaxAE=2.5886e-02 | Sum_hw=0.9915 | PASS
Test 137 | rand-087 N=234                 | N=234 | MSE=1.3845e-05 | MAE=4.3087e-04 | MaxAE=3.5739e-02 | Sum_hw=0.9530 | PASS
Test 138 | rand-088 N=491                 | N=491 | MSE=3.4037e-06 | MAE=1.0153e-04 | MaxAE=4.0233e-02 | Sum_hw=0.9501 | PASS
Test 139 | rand-089 N=439                 | N=439 | MSE=2.9803e-06 | MAE=1.8419e-04 | MaxAE=3.0620e-02 | Sum_hw=1.0252 | PASS
Test 140 | rand-090 N=157                 | N=157 | MSE=1.2737e-05 | MAE=3.5192e-04 | MaxAE=4.3850e-02 | Sum_hw=0.9447 | PASS
Test 141 | rand-091 N=232                 | N=232 | MSE=3.3332e-05 | MAE=1.1326e-03 | MaxAE=6.3217e-02 | Sum_hw=1.2623 | PASS
Test 142 | rand-092 N= 1                  | N= 1 | MSE=4.6834e-03 | MAE=6.8436e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 143 | rand-093 N=496                 | N=496 | MSE=8.8976e-07 | MAE=5.8266e-05 | MaxAE=2.0338e-02 | Sum_hw=0.9711 | PASS
Test 144 | rand-094 N=491                 | N=491 | MSE=1.1638e-05 | MAE=2.3513e-04 | MaxAE=6.5115e-02 | Sum_hw=0.9569 | PASS
Test 145 | rand-095 N=335                 | N=335 | MSE=7.6198e-06 | MAE=2.0313e-04 | MaxAE=4.8856e-02 | Sum_hw=1.0297 | PASS
Test 146 | rand-096 N=153                 | N=153 | MSE=1.1822e-05 | MAE=3.6029e-04 | MaxAE=4.1951e-02 | Sum_hw=1.0288 | PASS
Test 147 | rand-097 N=486                 | N=486 | MSE=1.0764e-05 | MAE=2.1499e-04 | MaxAE=6.1236e-02 | Sum_hw=1.0180 | PASS
Test 148 | rand-098 N=423                 | N=423 | MSE=3.5138e-06 | MAE=2.0330e-04 | MaxAE=3.2127e-02 | Sum_hw=0.9885 | PASS
Test 149 | rand-099 N=305                 | N=305 | MSE=2.0208e-05 | MAE=3.8127e-04 | MaxAE=6.7268e-02 | Sum_hw=1.0182 | PASS
Test 150 | rand-100 N=463                 | N=463 | MSE=3.7649e-06 | MAE=1.0255e-04 | MaxAE=4.1525e-02 | Sum_hw=1.0356 | PASS
Test 151 | rand-101 N=378                 | N=378 | MSE=1.2152e-05 | MAE=3.8423e-04 | MaxAE=5.6850e-02 | Sum_hw=1.1409 | PASS
Test 152 | rand-102 N=145                 | N=145 | MSE=2.5757e-05 | MAE=4.5145e-04 | MaxAE=6.0994e-02 | Sum_hw=0.9345 | PASS
Test 153 | rand-103 N=17                  | N=17 | MSE=2.7550e-04 | MAE=4.0256e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 154 | rand-104 N=147                 | N=147 | MSE=3.1859e-05 | MAE=4.6555e-04 | MaxAE=6.8434e-02 | Sum_hw=0.9316 | PASS
Test 155 | rand-105 N=245                 | N=245 | MSE=9.1936e-06 | MAE=2.2004e-04 | MaxAE=4.6975e-02 | Sum_hw=0.9461 | PASS
Test 156 | rand-106 N=344                 | N=344 | MSE=2.5286e-05 | MAE=4.0255e-04 | MaxAE=8.8572e-02 | Sum_hw=1.0387 | PASS
Test 157 | rand-107 N=266                 | N=266 | MSE=8.5623e-06 | MAE=3.2712e-04 | MaxAE=4.3380e-02 | Sum_hw=1.0304 | PASS
Test 158 | rand-108 N=127                 | N=127 | MSE=3.6500e-05 | MAE=5.3790e-04 | MaxAE=6.8084e-02 | Sum_hw=0.9317 | PASS
Test 159 | rand-109 N=67                  | N=67 | MSE=6.8710e-05 | MAE=1.0180e-03 | MaxAE=6.7849e-02 | Sum_hw=0.9318 | PASS
Test 160 | rand-110 N=262                 | N=262 | MSE=1.8450e-05 | MAE=4.0262e-04 | MaxAE=6.2935e-02 | Sum_hw=0.9368 | PASS
Test 161 | rand-111 N=334                 | N=334 | MSE=5.3733e-06 | MAE=1.6593e-04 | MaxAE=3.9491e-02 | Sum_hw=1.0236 | PASS
Test 162 | rand-112 N=253                 | N=253 | MSE=1.6549e-05 | MAE=2.6254e-04 | MaxAE=6.4683e-02 | Sum_hw=0.9336 | PASS
Test 163 | rand-113 N=102                 | N=102 | MSE=1.1092e-05 | MAE=3.8822e-04 | MaxAE=3.2978e-02 | Sum_hw=1.0396 | PASS
Test 164 | rand-114 N=155                 | N=155 | MSE=1.5095e-05 | MAE=3.7645e-04 | MaxAE=4.7086e-02 | Sum_hw=0.9417 | PASS
Test 165 | rand-115 N=243                 | N=243 | MSE=1.4396e-05 | MAE=3.9141e-04 | MaxAE=5.3932e-02 | Sum_hw=1.0569 | PASS
Test 166 | rand-116 N=199                 | N=199 | MSE=2.9346e-05 | MAE=5.1842e-04 | MaxAE=7.3525e-02 | Sum_hw=1.0439 | PASS
Test 167 | rand-117 N=328                 | N=328 | MSE=1.4052e-05 | MAE=2.0795e-04 | MaxAE=6.7891e-02 | Sum_hw=0.9318 | PASS
Test 168 | rand-118 N=213                 | N=213 | MSE=3.3291e-06 | MAE=1.8669e-04 | MaxAE=2.5268e-02 | Sum_hw=0.9602 | PASS
